created_at;_id;Origem;Destino;Mês;Dia da Semana;shipping.type;coupon.code;coupon.title;status_object.reason;cancellation_reason_translate;pharmacy_id;coupon.discount;total
19/01/2024 15:04;MK240119XMZZ44-1;SP-FRANCA;sp-franca;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14198;0;12
19/01/2024 14:48;01HMHDD6SVYA3G-3;SE-ARACAJU;se-aracaju;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14467;0;33,8
19/01/2024 14:48;01HMHDCRPPFTGH-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;;;CANCELLATION_OTHER;Outro;2156;;36,25
19/01/2024 14:45;MK24011943AU3W-2;SP-NOVA ODESSA;rj-rio de janeiro;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;1018;0;71,11
19/01/2024 14:26;01HMHC4AWX7HTE-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13598;;72,84
19/01/2024 14:20;01HMHBSG0MADVY-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13596;0;250,49
19/01/2024 14:13;MK2401197MI8Y3-1;RS-PORTO ALEGRE;rs-alvorada;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;2324;0;22,79
19/01/2024 14:13;MK240119QK8499-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13589;0;230,8
19/01/2024 14:06;MK240119FH11S1-3;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_AREA_NOT_COVERED;Área de entrega não atendida;14763;0;30,39
19/01/2024 14:04;01HMHAX1158A33-1;SP-ITAPECERICA DA SERRA;sp-itapecerica da serra;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;13376;;28,18
19/01/2024 13:50;MK240119IC3Q35-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;14763;;30,49
19/01/2024 13:46;MK240119X1N3DG-1;PR-GUARATUBA;pr-guaratuba;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;1005;;101,08
19/01/2024 13:30;01HMH8Z32JGPQR-1;SP-GUARUJA;sp-guaruja;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14245;;37,49
19/01/2024 13:19;01HMH8A71EKVP8-1;SP-GUARUJA;sp-guaruja;1;6;DELIVERY;;;CANCELLATION_PAST_DELIVERY_TIME;Tempo de entrega ultrapassado (fora do horário de atendimento);14245;;36,9
19/01/2024 13:14;01HMH820RC5WDK-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;VOLTEI;CUPOM VOLTEI - JAN24;CANCELLATION_GAVE_UP;Desistência do Cliente;11847;14,36;57,44
19/01/2024 13:08;01HMH7P5NWMJT4-1;SP-OSASCO;sp-santana de parnaiba;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;1807;0;113,05
19/01/2024 12:54;01HMH6VTMNQCGZ-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13594;;143,89
19/01/2024 12:42;MK24011939ZC0Y-1;PE-RECIFE;pe-recife;1;6;DELIVERY;;;CANCELLATION_OTHER;Outro;9628;;84,45
19/01/2024 12:31;MK2401199X3N02-1;SP-PINDAMONHANGABA;sp-sao paulo;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;14601;0;22,79
19/01/2024 12:26;01HMH58ZPWFDTP-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;COMPRINHA;CUPOM COMPRINHA - JAN24;CANCELLATION_GAVE_UP;Desistência do Cliente;8341;7,28;41,28
19/01/2024 12:18;01HMH4TA78J05P-1;BA-SALVADOR;ba-salvador;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11216;;30
19/01/2024 12:16;MK240119YQF5EF-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;COMPRINHA;CUPOM COMPRINHA - JAN24;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11224;8,25;46,74
19/01/2024 12:15;01HMH4ME1HQXSQ-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;13796;;25,56
19/01/2024 12:05;MK240119UEEEC4-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;1799;0;31,98
19/01/2024 12:04;01HMH40KAV04MV-5;PR-CURITIBA;pr-curitiba;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;5821;0;39,9
19/01/2024 12:02;01HMH3Y648ECH6-1;DF-BRASILIA;df-brasilia;1;6;PICKUP;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13595;0;186,99
19/01/2024 11:59;MK240119MN2CBF-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;COMPRINHA;CUPOM COMPRINHA - JAN24;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11224;8,25;46,74
19/01/2024 11:49;MK2401195H42V3-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;3154;0;167,4
19/01/2024 11:45;01HMH2Z48SD9R9-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_OTHER;Outro;14426;;124,24
19/01/2024 11:40;01HMH2MVWNGYET-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13577;;64,9
19/01/2024 11:39;01HMH2KY0Z39YE-1;BA-SALVADOR;ba-salvador;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;8682;;23,67
19/01/2024 11:31;MK240119HE0YF3-1;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;12263;0;136,06
19/01/2024 11:31;01HMH24C22643B-1;DF-BRASILIA;df-brasilia;1;6;DELIVERY;;;CANCELLATION_GAVE_UP;Desistência do Cliente;14234;;48,97
19/01/2024 11:30;MK24011912XL2W-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;6;DELIVERY;livelo;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;2783;0;68,4
19/01/2024 11:29;01HMH20T0B8HT7-1;SP-SANTO ANDRE;sp-santo andre;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9185;;91,37
